thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734911969,930.98,2.785,378.23531,1713734910473,1.291,,,
1713734911977,933.08,2.793,378.08382,1713734910477,1.295,,,
1713734911990,932.15,2.806,377.75846,1713734910480,1.298,,,
1713734912002,932.49,2.818,377.66909,1713734910482,1.3,,,
1713734912010,932.03,2.826,377.61645,1713734910485,1.303,,,
1713734912022,932.5,2.838,377.39623,1713734910488,1.306,,,
1713734912036,932.12,2.852,377.41578,1713734910491,1.309,,,
1713734912043,934.03,2.859,377.37689,1713734910494,1.312,,,
1713734912055,932.79,2.871,377.15215,1713734910497,1.315,,,
1713734912067,930.95,2.883,377.11681,1713734910500,1.318,,,
1713734912076,932.79,2.892,376.83155,1713734910503,1.321,,,
1713734912088,934.07,2.904,376.93884,1713734910506,1.324,,,
1713734912100,932.5,2.916,377.20285,1713734910509,1.327,,,
1713734912108,933.4,2.924,377.02424,1713734910512,1.33,,,
1713734912121,935.22,2.937,376.79823,1713734910516,1.334,,,
1713734912133,935.56,2.949,376.89448,1713734910520,1.338,,,
1713734912141,932.51,2.957,376.96876,1713734910525,1.343,,,
1713734912157,932.7,2.973,376.88015,1713734910528,1.346,,,
1713734912165,934.23,2.981,376.881,1713734910531,1.349,,,
1713734912174,933.68,2.99,376.40931,1713734910538,1.356,,,
1713734912187,934.02,3.003,376.5043,1713734910546,1.364,,,
1713734912195,934.11,3.011,376.75857,1713734910554,1.372,,,
1713734912207,934.04,3.023,376.7178,1713734910557,1.375,,,
1713734912219,935.51,3.035,376.51062,1713734910559,1.377,,,
1713734912227,934.46,3.043,376.49746,1713734910562,1.38,,,
1713734912240,934.09,3.056,376.28517,1713734910575,1.393,,,
1713734912252,933.27,3.068,376.52116,1713734910578,1.396,,,
1713734912260,934.14,3.076,376.63969,1713734910581,1.399,,,
1713734912272,934.86,3.088,376.56665,1713734910584,1.402,,,
1713734912284,934.75,3.1,376.45004,1713734910591,1.409,,,
1713734912293,934.31,3.109,376.29794,1713734910594,1.412,,,
1713734912309,934.16,3.125,376.33151,1713734910597,1.415,,,
1713734912317,934.18,3.133,376.15497,1713734910608,1.426,,,
1713734912326,935.66,3.142,375.93864,1713734910611,1.429,,,
1713734912338,934.22,3.154,375.78802,1713734910613,1.431,,,
1713734912350,933.71,3.166,375.77727,1713734910625,1.443,,,
1713734912358,936.06,3.174,375.58129,1713734910628,1.446,,,
1713734912370,936.13,3.186,375.34648,1713734910631,1.449,,,
1713734912383,933.97,3.199,375.35909,1713734910641,1.459,,,
1713734912391,935.56,3.207,375.16478,1713734910644,1.462,,,
1713734912403,935.89,3.219,375.05278,1713734910647,1.465,,,
1713734912415,936.96,3.231,375.00094,1713734910657,1.475,,,
1713734912424,936.37,3.24,375.02811,1713734910660,1.478,,,
1713734912436,937,3.252,374.96354,1713734910663,1.481,,,
1713734912444,936.67,3.26,374.90526,1713734910666,1.484,,,
1713734912457,936.69,3.273,375.00784,1713734910676,1.494,,,
1713734912469,936.51,3.285,374.73062,1713734910679,1.497,,,
1713734912477,936.56,3.293,374.72009,1713734910682,1.5,,,
1713734912490,935.32,3.306,374.82095,1713734910692,1.51,,,
1713734912501,937.29,3.317,374.70198,1713734910695,1.513,,,
1713734912510,937.23,3.326,374.5062,1713734910698,1.516,,,
1713734912525,937.42,3.341,374.06276,1713734910710,1.528,,,
1713734912534,936.37,3.35,374.04552,1713734910713,1.531,,,
1713734912543,938.69,3.359,373.92186,1713734910716,1.534,,,
1713734912555,937.48,3.371,373.7388,1713734910728,1.546,,,
1713734912567,937.23,3.383,373.73319,1713734910732,1.55,,,
1713734912575,937.11,3.391,373.84874,1713734910737,1.555,,,
1713734912588,935.93,3.404,373.95958,1713734910740,1.558,,,
1713734912600,936.94,3.416,373.76299,1713734910748,1.566,,,
1713734912608,936.9,3.424,373.63564,1713734910756,1.574,,,
1713734912620,936.78,3.436,373.46514,1713734910758,1.576,,,
1713734912632,936.19,3.448,373.49608,1713734910761,1.579,,,
1713734912641,935.22,3.457,373.38674,1713734910769,1.587,,,
1713734912655,939.02,3.471,373.10668,1713734910772,1.59,,,
1713734912665,937.69,3.481,373.20827,1713734910775,1.593,,,
1713734912674,937.62,3.49,373.35432,1713734910785,1.603,,,
1713734912686,936.94,3.502,373.32423,1713734910787,1.605,,,
1713734912694,937.46,3.51,372.8036,1713734910790,1.608,,,
1713734912706,938.13,3.522,372.69189,1713734910800,1.618,,,
1713734912719,936,3.535,372.48899,1713734910803,1.621,,,
1713734912727,937.8,3.543,372.23686,1713734910806,1.624,,,
1713734912739,937.95,3.555,372.07005,1713734910809,1.627,,,
1713734912751,938.96,3.567,372.04897,1713734910812,1.63,,,
1713734912760,938.05,3.576,372.0194,1713734910815,1.633,,,
1713734912772,938.02,3.588,371.8749,1713734910818,1.636,,,
1713734912784,938.36,3.6,371.95211,1713734910822,1.64,,,
1713734912792,938.86,3.608,371.70918,1713734910825,1.643,,,
1713734912804,938.03,3.62,371.57587,1713734910828,1.646,,,
1713734912817,937.2,3.633,371.72002,1713734910831,1.649,,,
1713734912826,937.58,3.642,371.81054,1713734910834,1.652,,,
1713734912837,938.63,3.653,371.80719,1713734910837,1.655,,,
1713734912850,937.9,3.666,371.87849,1713734910840,1.658,,,
1713734912858,938.15,3.674,371.89219,1713734910843,1.661,,,
1713734912870,936.83,3.686,371.98582,1713734910845,1.663,,,
1713734912882,938.01,3.698,371.74831,1713734910848,1.666,,,
1713734912891,937.6,3.707,371.76162,1713734910851,1.669,,,
1713734912903,939.54,3.719,371.75064,1713734910854,1.672,,,
1713734912915,936.74,3.731,371.80842,1713734910857,1.675,,,
1713734912925,939.75,3.741,371.68616,1713734910860,1.678,,,
1713734912936,938.49,3.752,371.8462,1713734910863,1.681,,,
1713734912944,936.41,3.76,372.06636,1713734910866,1.684,,,
1713734912958,938.23,3.774,371.94267,1713734910869,1.687,,,
1713734912969,936.23,3.785,372.1112,1713734910872,1.69,,,
1713734912977,937.23,3.793,372.27479,1713734910874,1.692,,,
1713734912989,938.9,3.805,371.97769,1713734910878,1.696,,,
1713734913001,938.87,3.817,371.73026,1713734910880,1.698,,,
1713734913010,939.14,3.826,371.58997,1713734910883,1.701,,,
1713734913022,939.7,3.838,371.56543,1713734910886,1.704,,,
1713734913034,939.35,3.85,371.17738,1713734910889,1.707,,,
1713734913042,938.47,3.858,371.22266,1713734910892,1.71,,,
1713734913062,939.52,3.878,371.17527,1713734910895,1.713,,,
1713734913067,940.58,3.883,371.20927,1713734910898,1.716,,,
1713734913075,939.1,3.891,371.39774,1713734910902,1.72,,,
1713734913087,937.45,3.903,371.37469,1713734910904,1.722,,,
1713734913099,936.84,3.915,371.37041,1713734910907,1.725,,,
1713734913108,938.28,3.924,371.66932,1713734910910,1.728,,,
1713734913120,937.48,3.936,371.77207,1713734910913,1.731,,,
1713734913132,936.05,3.948,371.8725,1713734910916,1.734,,,
1713734913141,938.7,3.957,371.82338,1713734910919,1.737,,,
1713734913153,938.55,3.969,371.5849,1713734910925,1.743,,,
1713734913167,941.42,3.983,371.56951,1713734910928,1.746,,,
1713734913173,939.87,3.989,371.32363,1713734910931,1.749,,,
1713734913186,938.92,4.002,371.43196,1713734910933,1.751,,,
1713734913194,940.95,4.01,371.30028,1713734910937,1.755,,,
1713734913206,940.93,4.022,371.09401,1713734910940,1.758,,,
1713734913218,940.16,4.034,370.90679,1713734910943,1.761,,,
1713734913227,939.2,4.043,370.92217,1713734910946,1.764,,,
1713734913239,937.37,4.055,370.95868,1713734910948,1.766,,,
1713734913251,939.32,4.067,370.72217,1713734910951,1.769,,,
1713734913259,938.95,4.075,370.70269,1713734910954,1.772,,,
1713734913272,938.19,4.088,370.81019,1713734910957,1.775,,,
1713734913284,938.16,4.1,370.76169,1713734910960,1.778,,,
1713734913292,940.01,4.108,370.59946,1713734910963,1.781,,,
1713734913304,940.96,4.12,370.80097,1713734910966,1.784,,,
1713734913317,939.17,4.133,370.8521,1713734910969,1.787,,,
1713734913325,939.37,4.141,370.82955,1713734910972,1.79,,,
1713734913337,940.3,4.153,370.84239,1713734910975,1.793,,,
1713734913349,940.74,4.165,370.98581,1713734910978,1.796,,,
1713734913361,940.63,4.177,371.00996,1713734910981,1.799,,,
1713734913373,940.09,4.189,371.02928,1713734910983,1.801,,,
1713734913382,940.8,4.198,371.02235,1713734910988,1.806,,,
1713734913390,941.05,4.206,370.72285,1713734910991,1.809,,,
1713734913403,941.68,4.219,370.5968,1713734910994,1.812,,,
1713734913411,939.82,4.227,370.4499,1713734910997,1.815,,,
1713734913423,938.7,4.239,370.59543,1713734911000,1.818,,,
1713734913435,940.61,4.251,370.54624,1713734911003,1.821,,,
